ts,iso_time,ph,o2,temp
1759807048380,2025-10-07T11:17:28.380000,7.1,7.64,26.3
1759807050070,2025-10-07T11:17:30.070000,7.1,7.64,26.3
1759807056539,2025-10-07T11:17:36.539000,7.1,7.65,26.3
1759807058360,2025-10-07T11:17:38.360000,7.1,7.65,26.3
1759807060060,2025-10-07T11:17:40.060000,7.1,7.65,26.3
1759807060101,2025-10-07T11:17:40.101000,7.1,7.65,26.3
1759807060101,2025-10-07T11:17:40.101000,7.1,7.65,26.3
1759807066554,2025-10-07T11:17:46.554000,7.1,7.67,26.3
1759807068373,2025-10-07T11:17:48.373000,7.1,7.67,26.3
1759807070075,2025-10-07T11:17:50.075000,7.1,7.67,26.3
1759807076544,2025-10-07T11:17:56.544000,7.1,7.67,26.3
1759807078385,2025-10-07T11:17:58.385000,7.1,7.67,26.3
1759807080049,2025-10-07T11:18:00.049000,7.1,7.67,26.3
1759807086560,2025-10-07T11:18:06.560000,7.1,7.67,26.3
1759807088393,2025-10-07T11:18:08.393000,7.1,7.67,26.3
1759807090067,2025-10-07T11:18:10.067000,7.1,7.67,26.3
1759807096562,2025-10-07T11:18:16.562000,7.1,7.67,26.3
1759807098382,2025-10-07T11:18:18.382000,7.1,7.67,26.3
1759807100072,2025-10-07T11:18:20.072000,7.1,7.67,26.3
1759807106539,2025-10-07T11:18:26.539000,7.1,7.63,26.3
1759807108377,2025-10-07T11:18:28.377000,7.1,7.63,26.3
1759807110067,2025-10-07T11:18:30.067000,7.1,7.63,26.3
1759807116541,2025-10-07T11:18:36.541000,7.1,7.66,26.3
1759807118382,2025-10-07T11:18:38.382000,7.1,7.66,26.3
1759807120063,2025-10-07T11:18:40.063000,7.1,7.66,26.3
1759807120101,2025-10-07T11:18:40.101000,7.1,7.66,26.3
1759807120102,2025-10-07T11:18:40.102000,7.1,7.66,26.3
1759807126579,2025-10-07T11:18:46.579000,7.1,7.68,26.3
1759807128375,2025-10-07T11:18:48.375000,7.1,7.68,26.3
1759807130049,2025-10-07T11:18:50.049000,7.1,7.68,26.3
1759807136563,2025-10-07T11:18:56.563000,7.1,7.68,26.3
1759807138382,2025-10-07T11:18:58.382000,7.1,7.68,26.3
1759807140054,2025-10-07T11:19:00.054000,7.1,7.68,26.3
1759807146585,2025-10-07T11:19:06.585000,7.1,7.69,26.3
1759807148364,2025-10-07T11:19:08.364000,7.1,7.69,26.3
1759807150086,2025-10-07T11:19:10.086000,7.1,7.69,26.3
1759807156685,2025-10-07T11:19:16.685000,7.1,7.67,26.3
1759807158390,2025-10-07T11:19:18.390000,7.1,7.67,26.3
1759807160062,2025-10-07T11:19:20.062000,7.1,7.67,26.3
1759807166636,2025-10-07T11:19:26.636000,7.1,7.66,26.3
1759807168387,2025-10-07T11:19:28.387000,7.1,7.66,26.3
1759807170077,2025-10-07T11:19:30.077000,7.1,7.66,26.3
1759807176562,2025-10-07T11:19:36.562000,7.1,7.64,26.3
1759807178376,2025-10-07T11:19:38.376000,7.1,7.64,26.3
1759807180075,2025-10-07T11:19:40.075000,7.1,7.64,26.3
1759807180114,2025-10-07T11:19:40.114000,7.1,7.64,26.3
1759807180114,2025-10-07T11:19:40.114000,7.1,7.64,26.3
1759807186573,2025-10-07T11:19:46.573000,7.1,7.66,26.3
1759807188386,2025-10-07T11:19:48.386000,7.1,7.66,26.3
1759807190076,2025-10-07T11:19:50.076000,7.1,7.66,26.3
1759807196568,2025-10-07T11:19:56.568000,7.1,7.67,26.3
1759807198378,2025-10-07T11:19:58.378000,7.1,7.67,26.3
1759807200045,2025-10-07T11:20:00.045000,7.1,7.67,26.3
1759807206575,2025-10-07T11:20:06.575000,7.1,7.67,26.3
1759807208384,2025-10-07T11:20:08.384000,7.1,7.67,26.3
1759807210075,2025-10-07T11:20:10.075000,7.1,7.67,26.3
1759807216608,2025-10-07T11:20:16.608000,7.1,7.65,26.3
1759807218383,2025-10-07T11:20:18.383000,7.1,7.65,26.3
1759807220063,2025-10-07T11:20:20.063000,7.1,7.65,26.3
1759807226563,2025-10-07T11:20:26.563000,7.1,7.64,26.3
1759807228381,2025-10-07T11:20:28.381000,7.1,7.64,26.3
1759807230065,2025-10-07T11:20:30.065000,7.1,7.64,26.3
1759807236565,2025-10-07T11:20:36.565000,7.1,7.63,26.3
1759807238368,2025-10-07T11:20:38.368000,7.1,7.63,26.3
1759807240058,2025-10-07T11:20:40.058000,7.1,7.63,26.3
1759807240090,2025-10-07T11:20:40.090000,7.1,7.63,26.3
1759807240091,2025-10-07T11:20:40.091000,7.1,7.63,26.3
1759807246556,2025-10-07T11:20:46.556000,7.1,7.63,26.3
1759807248387,2025-10-07T11:20:48.387000,7.1,7.63,26.3
1759807250069,2025-10-07T11:20:50.069000,7.1,7.63,26.3
1759807256569,2025-10-07T11:20:56.569000,7.1,7.67,26.3
1759807258379,2025-10-07T11:20:58.379000,7.1,7.67,26.3
1759807260069,2025-10-07T11:21:00.069000,7.1,7.67,26.3
1759807266578,2025-10-07T11:21:06.578000,7.1,7.67,26.3
1759807268397,2025-10-07T11:21:08.397000,7.1,7.67,26.3
1759807270077,2025-10-07T11:21:10.077000,7.1,7.67,26.3
1759807276560,2025-10-07T11:21:16.560000,7.1,7.66,26.3
1759807278405,2025-10-07T11:21:18.405000,7.1,7.66,26.3
1759807280070,2025-10-07T11:21:20.070000,7.1,7.66,26.3
1759807286555,2025-10-07T11:21:26.555000,7.1,7.65,26.3
1759807288374,2025-10-07T11:21:28.374000,7.1,7.65,26.3
1759807290060,2025-10-07T11:21:30.060000,7.1,7.65,26.3
1759807296559,2025-10-07T11:21:36.559000,7.1,7.64,26.3
1759807298375,2025-10-07T11:21:38.375000,7.1,7.64,26.3
1759807300061,2025-10-07T11:21:40.061000,7.1,7.64,26.3
1759807300094,2025-10-07T11:21:40.094000,7.1,7.64,26.3
1759807300094,2025-10-07T11:21:40.094000,7.1,7.64,26.3
1759807306561,2025-10-07T11:21:46.561000,7.1,7.64,26.3
1759807308381,2025-10-07T11:21:48.381000,7.1,7.64,26.3
1759807310074,2025-10-07T11:21:50.074000,7.1,7.64,26.3
1759807316559,2025-10-07T11:21:56.559000,7.1,7.67,26.3
1759807318391,2025-10-07T11:21:58.391000,7.1,7.67,26.3
1759807320066,2025-10-07T11:22:00.066000,7.1,7.67,26.3
1759807326586,2025-10-07T11:22:06.586000,7.1,7.66,26.3
1759807328382,2025-10-07T11:22:08.382000,7.1,7.66,26.3
1759807330060,2025-10-07T11:22:10.060000,7.1,7.66,26.3
1759807336552,2025-10-07T11:22:16.552000,7.1,7.67,26.3
1759807338386,2025-10-07T11:22:18.386000,7.1,7.67,26.3
1759807340054,2025-10-07T11:22:20.054000,7.1,7.67,26.3
1759807346565,2025-10-07T11:22:26.565000,7.1,7.66,26.3
1759807348385,2025-10-07T11:22:28.385000,7.1,7.66,26.3
1759807350066,2025-10-07T11:22:30.066000,7.1,7.66,26.3
1759807356554,2025-10-07T11:22:36.554000,7.1,7.66,26.3
1759807358375,2025-10-07T11:22:38.375000,7.1,7.66,26.3
1759807360071,2025-10-07T11:22:40.071000,7.1,7.66,26.3
1759807360091,2025-10-07T11:22:40.091000,7.1,7.66,26.3
1759807360091,2025-10-07T11:22:40.091000,7.1,7.66,26.3
1759807366565,2025-10-07T11:22:46.565000,7.1,7.65,26.3
1759807368379,2025-10-07T11:22:48.379000,7.1,7.65,26.3
1759807370075,2025-10-07T11:22:50.075000,7.1,7.65,26.3
1759807376543,2025-10-07T11:22:56.543000,7.1,7.65,26.3
1759807378391,2025-10-07T11:22:58.391000,7.1,7.65,26.3
1759807380061,2025-10-07T11:23:00.061000,7.1,7.65,26.3
1759807386575,2025-10-07T11:23:06.575000,7.1,7.66,26.3
1759807388385,2025-10-07T11:23:08.385000,7.1,7.66,26.3
1759807390082,2025-10-07T11:23:10.082000,7.1,7.66,26.3
1759807396564,2025-10-07T11:23:16.564000,7.1,7.67,26.3
1759807398363,2025-10-07T11:23:18.363000,7.1,7.67,26.3
1759807400066,2025-10-07T11:23:20.066000,7.1,7.67,26.3
1759807406557,2025-10-07T11:23:26.557000,7.1,7.67,26.3
1759807408390,2025-10-07T11:23:28.390000,7.1,7.67,26.3
1759807410071,2025-10-07T11:23:30.071000,7.1,7.67,26.3
1759807416561,2025-10-07T11:23:36.561000,7.1,7.66,26.3
1759807418371,2025-10-07T11:23:38.371000,7.1,7.66,26.3
1759807420080,2025-10-07T11:23:40.080000,7.1,7.66,26.3
1759807420121,2025-10-07T11:23:40.121000,7.1,7.66,26.3
1759807420121,2025-10-07T11:23:40.121000,7.1,7.66,26.3
1759807426543,2025-10-07T11:23:46.543000,7.1,7.66,26.3
1759807428391,2025-10-07T11:23:48.391000,7.1,7.66,26.3
1759807430071,2025-10-07T11:23:50.071000,7.1,7.66,26.3
1759807436539,2025-10-07T11:23:56.539000,7.1,7.64,26.3
1759807438365,2025-10-07T11:23:58.365000,7.1,7.64,26.3
1759807440070,2025-10-07T11:24:00.070000,7.1,7.64,26.3
1759807446563,2025-10-07T11:24:06.563000,7.1,7.67,26.3
1759807448387,2025-10-07T11:24:08.387000,7.1,7.67,26.3
1759807450081,2025-10-07T11:24:10.081000,7.1,7.67,26.3
1759807456561,2025-10-07T11:24:16.561000,7.1,7.68,26.3
1759807458374,2025-10-07T11:24:18.374000,7.1,7.68,26.3
1759807460056,2025-10-07T11:24:20.056000,7.1,7.68,26.3
1759807466669,2025-10-07T11:24:26.669000,7.1,7.68,26.3
1759807468386,2025-10-07T11:24:28.386000,7.1,7.68,26.3
1759807470062,2025-10-07T11:24:30.062000,7.1,7.68,26.3
1759807476586,2025-10-07T11:24:36.586000,7.1,7.68,26.3
1759807478377,2025-10-07T11:24:38.377000,7.1,7.68,26.3
1759807480076,2025-10-07T11:24:40.076000,7.1,7.68,26.3
1759807480111,2025-10-07T11:24:40.111000,7.1,7.68,26.3
1759807480112,2025-10-07T11:24:40.112000,7.1,7.68,26.3
1759807486557,2025-10-07T11:24:46.557000,7.1,7.67,26.3
1759807488386,2025-10-07T11:24:48.386000,7.1,7.67,26.3
1759807490078,2025-10-07T11:24:50.078000,7.1,7.67,26.4
1759807496569,2025-10-07T11:24:56.569000,7.1,7.65,26.4
1759807498377,2025-10-07T11:24:58.377000,7.1,7.65,26.4
1759807500050,2025-10-07T11:25:00.050000,7.1,7.65,26.3
1759807507800,2025-10-07T11:25:07.800000,7.1,7.65,26.3
1759807508403,2025-10-07T11:25:08.403000,7.1,7.65,26.3
1759807510063,2025-10-07T11:25:10.063000,7.1,7.65,26.3
1759807516641,2025-10-07T11:25:16.641000,7.1,7.66,26.3
1759807518380,2025-10-07T11:25:18.380000,7.1,7.66,26.3
1759807520060,2025-10-07T11:25:20.060000,7.1,7.66,26.3
1759807526561,2025-10-07T11:25:26.561000,7.1,7.67,26.3
1759807528384,2025-10-07T11:25:28.384000,7.1,7.67,26.3
1759807530055,2025-10-07T11:25:30.055000,7.1,7.67,26.3
1759807536577,2025-10-07T11:25:36.577000,7.1,7.67,26.3
1759807538381,2025-10-07T11:25:38.381000,7.1,7.67,26.3
1759807540065,2025-10-07T11:25:40.065000,7.1,7.67,26.3
1759807540118,2025-10-07T11:25:40.118000,7.1,7.67,26.3
1759807540119,2025-10-07T11:25:40.119000,7.1,7.67,26.3
1759807546565,2025-10-07T11:25:46.565000,7.1,7.66,26.3
1759807548380,2025-10-07T11:25:48.380000,7.1,7.66,26.3
1759807550057,2025-10-07T11:25:50.057000,7.1,7.66,26.4
1759807556571,2025-10-07T11:25:56.571000,7.1,7.65,26.4
1759807558378,2025-10-07T11:25:58.378000,7.1,7.65,26.4
1759807560073,2025-10-07T11:26:00.073000,7.1,7.65,26.3
1759807566612,2025-10-07T11:26:06.612000,7.1,7.64,26.3
1759807568399,2025-10-07T11:26:08.399000,7.1,7.64,26.3
1759807570052,2025-10-07T11:26:10.052000,7.1,7.64,26.4
1759807576574,2025-10-07T11:26:16.574000,7.1,7.66,26.4
1759807578380,2025-10-07T11:26:18.380000,7.1,7.66,26.4
1759807580060,2025-10-07T11:26:20.060000,7.1,7.66,26.3
1759807586571,2025-10-07T11:26:26.571000,7.1,7.66,26.3
1759807588370,2025-10-07T11:26:28.370000,7.1,7.66,26.3
1759807590069,2025-10-07T11:26:30.069000,7.1,7.66,26.4
1759807596551,2025-10-07T11:26:36.551000,7.1,7.67,26.4
1759807598380,2025-10-07T11:26:38.380000,7.1,7.67,26.4
1759807600060,2025-10-07T11:26:40.060000,7.1,7.67,26.3
1759807600090,2025-10-07T11:26:40.090000,7.1,7.67,26.3
1759807600090,2025-10-07T11:26:40.090000,7.1,7.67,26.3
1759807606557,2025-10-07T11:26:46.557000,7.1,7.67,26.3
1759807608385,2025-10-07T11:26:48.385000,7.1,7.67,26.3
1759807610073,2025-10-07T11:26:50.073000,7.1,7.67,26.3
1759807616585,2025-10-07T11:26:56.585000,7.1,7.66,26.3
1759807618366,2025-10-07T11:26:58.366000,7.1,7.66,26.3
1759807620042,2025-10-07T11:27:00.042000,7.1,7.66,26.3
1759807626570,2025-10-07T11:27:06.570000,7.1,7.64,26.3
1759807628375,2025-10-07T11:27:08.375000,7.1,7.64,26.3
1759807630074,2025-10-07T11:27:10.074000,7.1,7.64,26.4
1759807636559,2025-10-07T11:27:16.559000,7.1,7.65,26.4
1759807638376,2025-10-07T11:27:18.376000,7.1,7.65,26.4
1759807640074,2025-10-07T11:27:20.074000,7.1,7.65,26.4
1759807646554,2025-10-07T11:27:26.554000,7.1,7.66,26.4
1759807648389,2025-10-07T11:27:28.389000,7.1,7.66,26.4
1759807650066,2025-10-07T11:27:30.066000,7.1,7.66,26.4
1759807656565,2025-10-07T11:27:36.565000,7.1,7.67,26.4
1759807658391,2025-10-07T11:27:38.391000,7.1,7.67,26.4
1759807660062,2025-10-07T11:27:40.062000,7.1,7.67,26.4
1759807660117,2025-10-07T11:27:40.117000,7.1,7.67,26.4
1759807660118,2025-10-07T11:27:40.118000,7.1,7.67,26.4
1759807666566,2025-10-07T11:27:46.566000,7.1,7.67,26.4
1759807668370,2025-10-07T11:27:48.370000,7.1,7.67,26.4
1759807670087,2025-10-07T11:27:50.087000,7.1,7.67,26.4
1759807676590,2025-10-07T11:27:56.590000,7.1,7.66,26.4
1759807678386,2025-10-07T11:27:58.386000,7.1,7.66,26.4
1759807680073,2025-10-07T11:28:00.073000,7.1,7.66,26.4
1759807686566,2025-10-07T11:28:06.566000,7.1,7.64,26.4
1759807688401,2025-10-07T11:28:08.401000,7.1,7.64,26.4
1759807690086,2025-10-07T11:28:10.086000,7.1,7.64,26.4
1759807696561,2025-10-07T11:28:16.561000,7.1,7.63,26.4
1759807698390,2025-10-07T11:28:18.390000,7.1,7.63,26.4
1759807700064,2025-10-07T11:28:20.064000,7.1,7.63,26.4
1759807706552,2025-10-07T11:28:26.552000,7.1,7.65,26.4
1759807708381,2025-10-07T11:28:28.381000,7.1,7.65,26.4
1759807710072,2025-10-07T11:28:30.072000,7.1,7.65,26.4
1759807716567,2025-10-07T11:28:36.567000,7.1,7.66,26.4
1759807718385,2025-10-07T11:28:38.385000,7.1,7.66,26.4
1759807720067,2025-10-07T11:28:40.067000,7.1,7.66,26.4
1759807720091,2025-10-07T11:28:40.091000,7.1,7.66,26.4
1759807720091,2025-10-07T11:28:40.091000,7.1,7.66,26.4
1759807726539,2025-10-07T11:28:46.539000,7.1,7.66,26.4
1759807728386,2025-10-07T11:28:48.386000,7.1,7.66,26.4
1759807730055,2025-10-07T11:28:50.055000,7.1,7.66,26.4
1759807736601,2025-10-07T11:28:56.601000,7.1,7.66,26.4
1759807738387,2025-10-07T11:28:58.387000,7.1,7.66,26.4
1759807740072,2025-10-07T11:29:00.072000,7.1,7.66,26.4
1759807746562,2025-10-07T11:29:06.562000,7.1,7.66,26.4
1759807748367,2025-10-07T11:29:08.367000,7.1,7.66,26.4
1759807750059,2025-10-07T11:29:10.059000,7.1,7.66,26.4
1759807756555,2025-10-07T11:29:16.555000,7.1,7.64,26.4
1759807758385,2025-10-07T11:29:18.385000,7.1,7.64,26.4
1759807760072,2025-10-07T11:29:20.072000,7.1,7.64,26.4
1759807766559,2025-10-07T11:29:26.559000,7.1,7.65,26.4
1759807768398,2025-10-07T11:29:28.398000,7.1,7.65,26.4
1759807770062,2025-10-07T11:29:30.062000,7.1,7.65,26.4
1759807776553,2025-10-07T11:29:36.553000,7.1,7.67,26.4
1759807778392,2025-10-07T11:29:38.392000,7.1,7.67,26.4
1759807780083,2025-10-07T11:29:40.083000,7.1,7.67,26.4
1759807780141,2025-10-07T11:29:40.141000,7.1,7.67,26.4
1759807780142,2025-10-07T11:29:40.142000,7.1,7.67,26.4
1759807786587,2025-10-07T11:29:46.587000,7.1,7.68,26.4
1759807788394,2025-10-07T11:29:48.394000,7.1,7.68,26.4
1759807790069,2025-10-07T11:29:50.069000,7.1,7.68,26.4
1759807796549,2025-10-07T11:29:56.549000,7.1,7.68,26.4
1759807798378,2025-10-07T11:29:58.378000,7.1,7.68,26.4
1759807800079,2025-10-07T11:30:00.079000,7.1,7.68,26.4
1759807806645,2025-10-07T11:30:06.645000,7.1,7.66,26.4
1759807808398,2025-10-07T11:30:08.398000,7.1,7.66,26.4
1759807810072,2025-10-07T11:30:10.072000,7.1,7.66,26.4
1759807816551,2025-10-07T11:30:16.551000,7.1,7.65,26.4
1759807818367,2025-10-07T11:30:18.367000,7.1,7.65,26.4
1759807820103,2025-10-07T11:30:20.103000,7.1,7.65,26.4
1759807826546,2025-10-07T11:30:26.546000,7.1,7.65,26.4
1759807828387,2025-10-07T11:30:28.387000,7.1,7.65,26.4
1759807830072,2025-10-07T11:30:30.072000,7.1,7.65,26.4
1759807836565,2025-10-07T11:30:36.565000,7.1,7.67,26.4
1759807838385,2025-10-07T11:30:38.385000,7.1,7.67,26.4
1759807840075,2025-10-07T11:30:40.075000,7.1,7.67,26.3
1759807840111,2025-10-07T11:30:40.111000,7.1,7.67,26.3
1759807840112,2025-10-07T11:30:40.112000,7.1,7.67,26.3
1759807846570,2025-10-07T11:30:46.570000,7.1,7.68,26.3
1759807848373,2025-10-07T11:30:48.373000,7.1,7.68,26.3
1759807850071,2025-10-07T11:30:50.071000,7.1,7.68,26.4
1759807856542,2025-10-07T11:30:56.542000,7.1,7.68,26.4
1759807858387,2025-10-07T11:30:58.387000,7.1,7.68,26.4
1759807860077,2025-10-07T11:31:00.077000,7.1,7.68,26.4
1759807866646,2025-10-07T11:31:06.646000,7.1,7.67,26.4
1759807868389,2025-10-07T11:31:08.389000,7.1,7.67,26.4
1759807870076,2025-10-07T11:31:10.076000,7.1,7.67,26.4
1759807876567,2025-10-07T11:31:16.567000,7.1,7.66,26.4
1759807878385,2025-10-07T11:31:18.385000,7.1,7.66,26.4
1759807880050,2025-10-07T11:31:20.050000,7.1,7.66,26.4
1759807886557,2025-10-07T11:31:26.557000,7.1,7.64,26.4
1759807888381,2025-10-07T11:31:28.381000,7.1,7.64,26.4
1759807890075,2025-10-07T11:31:30.075000,7.1,7.64,26.4
1759807896557,2025-10-07T11:31:36.557000,7.1,7.66,26.4
1759807898369,2025-10-07T11:31:38.369000,7.1,7.66,26.4
1759807900063,2025-10-07T11:31:40.063000,7.1,7.66,26.4
1759807900087,2025-10-07T11:31:40.087000,7.1,7.66,26.4
1759807900087,2025-10-07T11:31:40.087000,7.1,7.66,26.4
1759807906588,2025-10-07T11:31:46.588000,7.1,7.67,26.4
1759807908380,2025-10-07T11:31:48.380000,7.1,7.67,26.4
1759807910062,2025-10-07T11:31:50.062000,7.1,7.67,26.4
1759807916618,2025-10-07T11:31:56.618000,7.1,7.68,26.4
1759807918419,2025-10-07T11:31:58.419000,7.1,7.68,26.4
